date,n,k,d,c,ccw,lambda,error_combined,dominance_case,color,weather_weight,atmospheric_weight
2024-05-20,2,3,2,0.2,0.2,0.5,0.212333,weather_dominates,blue,0.8,0.2
2024-05-20,2,3,2,0.3,0.3,0.5,0.2135,hybrid,purple,0.7,0.3
2024-05-20,2,3,2,0.4,0.4,0.5,0.214667,hybrid,purple,0.6,0.4
2024-05-20,2,3,2,0.5,0.5,0.5,0.215833,hybrid,purple,0.5,0.5
2024-05-20,2,3,2,0.6,0.6,0.5,0.217,hybrid,purple,0.4,0.6
2024-05-20,2,3,2,0.7,0.7,0.5,0.218167,hybrid,purple,0.3,0.7
2024-05-20,2,3,2,0.8,0.8,0.5,0.219333,atmospheric_dominates,orange,0.2,0.8
2024-05-20,2,3,2,0.9,0.9,0.5,0.2205,atmospheric_dominates,orange,0.1,0.9
2024-05-20,2,3,2,1.0,1.0,0.5,0.221667,atmospheric_dominates,orange,0.0,1.0
2024-05-20,2,3,3,0.0,0.0,0.5,0.22,weather_dominates,blue,1.0,0.0
2024-05-20,2,3,3,0.1,0.1,0.5,0.221222,weather_dominates,blue,0.9,0.1
2024-05-20,2,3,3,0.2,0.2,0.5,0.222444,weather_dominates,blue,0.8,0.2
2024-05-20,2,3,3,0.3,0.3,0.5,0.223667,hybrid,purple,0.7,0.3
2024-05-20,2,3,3,0.4,0.4,0.5,0.224889,hybrid,purple,0.6,0.4
2024-05-20,2,3,3,0.5,0.5,0.5,0.226111,hybrid,purple,0.5,0.5
2024-05-20,2,3,3,0.6,0.6,0.5,0.227333,hybrid,purple,0.4,0.6
2024-05-20,2,3,3,0.7,0.7,0.5,0.228556,hybrid,purple,0.3,0.7
2024-05-20,2,3,3,0.8,0.8,0.5,0.229778,atmospheric_dominates,orange,0.2,0.8
2024-05-20,2,3,3,0.9,0.9,0.5,0.231,atmospheric_dominates,orange,0.1,0.9
2024-05-20,2,3,3,1.0,1.0,0.5,0.232222,atmospheric_dominates,orange,0.0,1.0
2024-05-20,2,3,4,0.0,0.0,0.5,0.23,weather_dominates,blue,1.0,0.0
2024-05-20,2,3,4,0.1,0.1,0.5,0.231278,weather_dominates,blue,0.9,0.1
2024-05-20,2,3,4,0.2,0.2,0.5,0.232556,weather_dominates,blue,0.8,0.2
2024-05-20,2,3,4,0.3,0.3,0.5,0.233833,hybrid,purple,0.7,0.3
2024-05-20,2,3,4,0.4,0.4,0.5,0.235111,hybrid,purple,0.6,0.4
2024-05-20,2,3,4,0.5,0.5,0.5,0.236389,hybrid,purple,0.5,0.5
2024-05-20,2,3,4,0.6,0.6,0.5,0.237667,hybrid,purple,0.4,0.6
2024-05-20,2,3,4,0.7,0.7,0.5,0.238944,hybrid,purple,0.3,0.7
2024-05-20,2,3,4,0.8,0.8,0.5,0.240222,atmospheric_dominates,orange,0.2,0.8
2024-05-20,2,3,4,0.9,0.9,0.5,0.2415,atmospheric_dominates,orange,0.1,0.9
2024-05-20,2,3,4,1.0,1.0,0.5,0.242778,atmospheric_dominates,orange,0.0,1.0
2024-05-20,2,3,5,0.0,0.0,0.5,0.24,weather_dominates,blue,1.0,0.0
2024-05-20,2,3,5,0.1,0.1,0.5,0.241333,weather_dominates,blue,0.9,0.1
2024-05-20,2,3,5,0.2,0.2,0.5,0.242667,weather_dominates,blue,0.8,0.2
2024-05-20,2,3,5,0.3,0.3,0.5,0.244,hybrid,purple,0.7,0.3
2024-05-20,2,3,5,0.4,0.4,0.5,0.245333,hybrid,purple,0.6,0.4
2024-05-20,2,3,5,0.5,0.5,0.5,0.246667,hybrid,purple,0.5,0.5
2024-05-20,2,3,5,0.6,0.6,0.5,0.248,hybrid,purple,0.4,0.6
2024-05-20,2,3,5,0.7,0.7,0.5,0.249333,hybrid,purple,0.3,0.7
2024-05-20,2,3,5,0.8,0.8,0.5,0.250667,atmospheric_dominates,orange,0.2,0.8
2024-05-20,2,3,5,0.9,0.9,0.5,0.252,atmospheric_dominates,orange,0.1,0.9
2024-05-20,2,3,5,1.0,1.0,0.5,0.253333,atmospheric_dominates,orange,0.0,1.0
2024-05-20,2,3,6,0.0,0.0,0.5,0.25,weather_dominates,blue,1.0,0.0
2024-05-20,2,3,6,0.1,0.1,0.5,0.251389,weather_dominates,blue,0.9,0.1
2024-05-20,2,3,6,0.2,0.2,0.5,0.252778,weather_dominates,blue,0.8,0.2
2024-05-20,2,3,6,0.3,0.3,0.5,0.254167,hybrid,purple,0.7,0.3
2024-05-20,2,3,6,0.4,0.4,0.5,0.255556,hybrid,purple,0.6,0.4
2024-05-20,2,3,6,0.5,0.5,0.5,0.256944,hybrid,purple,0.5,0.5
2024-05-20,2,3,6,0.6,0.6,0.5,0.258333,hybrid,purple,0.4,0.6
2024-05-20,2,3,6,0.7,0.7,0.5,0.259722,hybrid,purple,0.3,0.7
2024-05-20,2,3,6,0.8,0.8,0.5,0.261111,atmospheric_dominates,orange,0.2,0.8
2024-05-20,2,3,6,0.9,0.9,0.5,0.2625,atmospheric_dominates,orange,0.1,0.9
2024-05-20,2,3,6,1.0,1.0,0.5,0.263889,atmospheric_dominates,orange,0.0,1.0
2024-05-20,2,3,7,0.0,0.0,0.5,0.26,weather_dominates,blue,1.0,0.0
2024-05-20,2,3,7,0.1,0.1,0.5,0.261444,weather_dominates,blue,0.9,0.1
2024-05-20,2,3,7,0.2,0.2,0.5,0.262889,weather_dominates,blue,0.8,0.2
2024-05-20,2,3,7,0.3,0.3,0.5,0.264333,hybrid,purple,0.7,0.3
2024-05-20,2,3,7,0.4,0.4,0.5,0.265778,hybrid,purple,0.6,0.4
2024-05-20,2,3,7,0.5,0.5,0.5,0.267222,hybrid,purple,0.5,0.5
2024-05-20,2,3,7,0.6,0.6,0.5,0.268667,hybrid,purple,0.4,0.6
2024-05-20,2,3,7,0.7,0.7,0.5,0.270111,hybrid,purple,0.3,0.7
2024-05-20,2,3,7,0.8,0.8,0.5,0.271556,atmospheric_dominates,orange,0.2,0.8
2024-05-20,2,3,7,0.9,0.9,0.5,0.273,atmospheric_dominates,orange,0.1,0.9
2024-05-20,2,3,7,1.0,1.0,0.5,0.274444,atmospheric_dominates,orange,0.0,1.0
2024-05-20,2,4,1,0.0,0.0,0.5,0.1875,weather_dominates,blue,1.0,0.0
2024-05-20,2,4,1,0.1,0.1,0.5,0.190625,weather_dominates,blue,0.9,0.1
2024-05-20,2,4,1,0.2,0.2,0.5,0.19375,weather_dominates,blue,0.8,0.2
2024-05-20,2,4,1,0.3,0.3,0.5,0.196875,hybrid,purple,0.7,0.3
2024-05-20,2,4,1,0.4,0.4,0.5,0.2,hybrid,purple,0.6,0.4
2024-05-20,2,4,1,0.5,0.5,0.5,0.203125,hybrid,purple,0.5,0.5
2024-05-20,2,4,1,0.6,0.6,0.5,0.20625,hybrid,purple,0.4,0.6
2024-05-20,2,4,1,0.7,0.7,0.5,0.209375,hybrid,purple,0.3,0.7
2024-05-20,2,4,1,0.8,0.8,0.5,0.2125,atmospheric_dominates,orange,0.2,0.8
2024-05-20,2,4,1,0.9,0.9,0.5,0.215625,atmospheric_dominates,orange,0.1,0.9
2024-05-20,2,4,1,1.0,1.0,0.5,0.21875,atmospheric_dominates,orange,0.0,1.0
2024-05-20,2,4,2,0.0,0.0,0.5,0.196875,weather_dominates,blue,1.0,0.0
2024-05-20,2,4,2,0.1,0.1,0.5,0.200156,weather_dominates,blue,0.9,0.1
2024-05-20,2,4,2,0.2,0.2,0.5,0.203438,weather_dominates,blue,0.8,0.2
2024-05-20,2,4,2,0.3,0.3,0.5,0.206719,hybrid,purple,0.7,0.3
2024-05-20,2,4,2,0.4,0.4,0.5,0.21,hybrid,purple,0.6,0.4
2024-05-20,2,4,2,0.5,0.5,0.5,0.213281,hybrid,purple,0.5,0.5
2024-05-20,2,4,2,0.6,0.6,0.5,0.216563,hybrid,purple,0.4,0.6
2024-05-20,2,4,2,0.7,0.7,0.5,0.219844,hybrid,purple,0.3,0.7
2024-05-20,2,4,2,0.8,0.8,0.5,0.223125,atmospheric_dominates,orange,0.2,0.8
2024-05-20,2,4,2,0.9,0.9,0.5,0.226406,atmospheric_dominates,orange,0.1,0.9
2024-05-20,2,4,2,1.0,1.0,0.5,0.229688,atmospheric_dominates,orange,0.0,1.0
